time,best,sol,weight
19532,0.504675,0.86,0
111587,0.715334,0.928,356
227536,0.735552,0.948,350.7
340839,0.749254,0.94,400.2
467289,0.770761,0.944,435
603516,0.784446,0.958,419.7
746896,0.792886,0.966,409.6
887950,0.799636,0.964,428
1024933,0.821749,0.98,416.1
1163539,0.830394,0.988,405.3
1310126,0.839901,0.994,393.6
1457721,0.840009,0.994,393.8
1597303,0.840078,0.992,399
1739345,0.842757,0.994,399.1
1879018,0.846018,0.996,393.1
2027242,0.846018,0.996,393.1
2169473,0.856448,0.996,412.3
2310298,0.863183,0.998,412.6
2450853,0.866066,0.998,417.8
2593327,0.866066,0.998,417.8
2731479,0.866807,0.998,419.1
2872144,0.870795,0.994,443.9
3012665,0.870795,0.994,443.9
3153094,0.871187,0.994,444.6
3298553,0.871187,0.994,444.6
3437298,0.873402,0.994,448.6
3578504,0.873402,0.994,448.6
3719796,0.873402,0.994,448.6
3879548,0.874559,0.994,450.7
4019209,0.885696,0.998,452.9
4160488,0.886622,0.998,454.5
4294467,0.887902,0.998,456.8
4427424,0.887902,0.998,456.8
4565941,0.887902,0.998,456.8
4708113,0.887902,0.998,456.8
4849249,0.887902,0.998,456.8
4988405,0.888791,0.998,458.5
5127024,0.888791,0.998,458.5
5271305,0.893896,0.998,467.6
5410858,0.893896,0.998,467.6
5556172,0.895103,0.998,469.7
5694442,0.896574,1,459.9
5837513,0.896574,1,459.9
5975200,0.896574,1,459.9
6113036,0.896574,1,459.9
6252027,0.899431,1,464.9
6394271,0.900256,1,466.4
6534875,0.903174,1,471.6
6670390,0.903174,1,471.6
6808946,0.903174,1,471.6
6950441,0.903174,1,471.6
7092295,0.903688,1,472.5
7231485,0.903688,1,472.5
7366070,0.903688,1,472.5
7501467,0.904632,1,474.2
7641229,0.904632,1,474.2
7778705,0.904747,1,474.4
7920696,0.904747,1,474.4
8058075,0.904747,1,474.4
8195692,0.904747,1,474.4
8334669,0.905195,1,475.2
8474100,0.907908,1,479.9
8615869,0.907908,1,479.9
8760933,0.907908,1,479.9
8908290,0.90972,1,483.1
9044227,0.911397,1,486
9181091,0.911453,1,486.1
9343634,0.911453,1,486.1
9488106,0.911453,1,486.1
9626038,0.911453,1,486.1
9766411,0.911453,1,486.1
9901225,0.911453,1,486.1
10044919,0.911453,1,486.1
10184363,0.912437,1,487.8
10324652,0.912437,1,487.8
10466163,0.912437,1,487.8
10603139,0.912437,1,487.8
10740041,0.912437,1,487.8
10878400,0.912437,1,487.8
11012778,0.912437,1,487.8
11152596,0.912437,1,487.8
11291695,0.912437,1,487.8
11435425,0.912437,1,487.8
11576611,0.912437,1,487.8
11718854,0.912786,1,488.4
11861041,0.9151,1,492.4
11997169,0.9151,1,492.4
12133193,0.915626,1,493.3
12269016,0.916755,1,495.3
12406420,0.918458,1,498.3
12538421,0.918458,1,498.3
12674456,0.918458,1,498.3
12812078,0.919321,1,499.8
12954621,0.919321,1,499.8
13089153,0.920446,1,501.7
13228785,0.920446,1,501.7
