time,best,sol,weight
235216,0.504675,0.86,0
1229906,0.750764,0.9468,383.61
2494805,0.768908,0.9574,391.39
3850971,0.787088,0.9592,423.34
5283357,0.803922,0.9684,426.44
6674800,0.813512,0.9728,431.28
8097134,0.825525,0.978,432.69
9544657,0.830164,0.9788,438.05
10970549,0.835195,0.9832,432.15
12416622,0.840773,0.9854,431.99
13869839,0.846554,0.986199,434.95
15312843,0.851122,0.9874,436.81
16733893,0.855417,0.9878,441.65
18185734,0.858749,0.9904,438.34
19653704,0.861034,0.9926,434.05
21066878,0.864197,0.992,442.94
22558169,0.864514,0.9916,445.29
24016846,0.867182,0.992,447.64
25418934,0.868632,0.993,445.57
26867306,0.869124,0.9934,444.71
28294755,0.870224,0.9938,445.71
29698516,0.871685,0.9946,444.89
31168559,0.872787,0.995,445.12
32626171,0.873665,0.9954,444.98
34157374,0.874607,0.9964,441.89
35706072,0.876409,0.9968,442.71
37180394,0.876927,0.9968,443.65
38767477,0.878102,0.9972,443.98
40267869,0.878853,0.9978,441.59
41766147,0.880118,0.998,442.58
43184176,0.880396,0.9982,441.82
44546990,0.880835,0.998399,441.35
45932025,0.881133,0.998399,441.88
47312575,0.881652,0.9982,444.07
48693423,0.882276,0.9982,445.19
50096958,0.883134,0.9982,446.73
51475644,0.884137,0.998599,446.03
52847662,0.885377,0.998999,445.75
54261009,0.886939,0.998999,448.51
55638844,0.887588,0.998999,449.66
57019640,0.888133,0.998999,450.63
58380517,0.889165,0.998999,452.46
59766191,0.890517,0.998999,454.85
61115373,0.891819,0.998999,457.15
62514692,0.892074,0.999599,454.59
64014942,0.892863,0.999599,455.98
65443515,0.893761,0.999599,457.57
66847607,0.893936,0.999599,457.88
68239250,0.894641,0.999599,459.14
69662809,0.895805,0.999599,461.2
71054581,0.896416,0.999599,462.3
72447591,0.896416,0.999599,462.3
73854014,0.896556,0.999599,462.55
75326526,0.897025,0.999799,462.14
76764996,0.897025,0.999799,462.14
78190179,0.897188,0.999799,462.43
79629724,0.897754,0.999799,463.43
81046217,0.897754,0.999799,463.43
82507321,0.898212,0.999799,464.23
83947471,0.898654,0.999799,465
85374596,0.899673,0.999799,466.81
86791211,0.899969,0.999799,467.33
88222779,0.90046,0.999799,468.19
89653123,0.900476,0.999799,468.22
91174191,0.900476,0.999799,468.22
92565389,0.900867,0.999799,468.9
93948381,0.901263,0.999999,468.34
95365071,0.901643,0.999999,469.01
96773494,0.901849,0.999999,469.38
98231357,0.901995,0.999999,469.64
99633355,0.902127,0.999999,469.88
101027515,0.902218,0.999999,470.04
102425014,0.902369,0.999999,470.31
103855852,0.902575,0.999999,470.67
105272063,0.902794,0.999999,471.06
106663525,0.902822,0.999999,471.11
108103885,0.903297,0.999999,471.93
109511015,0.903716,0.999999,472.67
110932654,0.90432,0.999999,473.72
112356441,0.90432,0.999999,473.72
113788376,0.904361,0.999999,473.79
115251965,0.904598,0.999999,474.21
116679200,0.904706,0.999999,474.4
118094825,0.904706,0.999999,474.4
119510719,0.904746,0.999999,474.47
120917461,0.904898,0.999999,474.74
122312490,0.904898,0.999999,474.74
123731332,0.904898,0.999999,474.74
125133050,0.904898,0.999999,474.74
126562930,0.905147,0.999999,475.18
127991810,0.90517,0.999999,475.22
129389658,0.905488,0.999999,475.78
130809487,0.905528,0.999999,475.85
132217220,0.905849,0.999999,476.41
133640905,0.906136,0.999999,476.92
135043741,0.906241,0.999999,477.1
136431948,0.906265,0.999999,477.14
137861016,0.906505,0.999999,477.56
139272426,0.906953,0.999999,478.34
140676331,0.907341,0.999999,479.04
142090862,0.907574,0.999999,479.45
143529444,0.907905,0.999999,480.02
144944216,0.908381,0.999999,480.84
146379312,0.908426,0.999999,480.92
147764312,0.908534,0.999999,481.11
149161148,0.908816,0.999999,481.6
150561508,0.908816,0.999999,481.6
151970367,0.908821,0.999999,481.61
153376870,0.908821,0.999999,481.61
154757867,0.909181,0.999999,482.25
156163068,0.909527,0.999999,482.86
157571775,0.909527,0.999999,482.86
158995900,0.909527,0.999999,482.86
160403788,0.909864,0.999999,483.45
161836729,0.909962,0.999999,483.62
163257684,0.91016,0.999999,483.96
164654121,0.910741,0.999999,484.97
166054747,0.911437,0.999999,486.18
167450964,0.911437,0.999999,486.18
168839221,0.911437,0.999999,486.18
170296587,0.911437,0.999999,486.18
171746797,0.911797,0.999999,486.8
173151606,0.911867,0.999999,486.92
174573939,0.911958,0.999999,487.08
175969378,0.912074,0.999999,487.28
177367465,0.912214,0.999999,487.52
178786926,0.912214,0.999999,487.52
180225047,0.912214,0.999999,487.52
181620720,0.912346,0.999999,487.75
183036669,0.912346,0.999999,487.75
184431532,0.912357,0.999999,487.77
185865683,0.912357,0.999999,487.77
187277631,0.912551,0.999999,488.1
188741748,0.912773,0.999999,488.48
190174011,0.912945,0.999999,488.78
191567369,0.913159,0.999999,489.15
192935588,0.913159,0.999999,489.15
194334385,0.913159,0.999999,489.15
195715994,0.913229,0.999999,489.27
197119765,0.913334,0.999999,489.45
198524491,0.913334,0.999999,489.45
199910037,0.913345,0.999999,489.47
201308223,0.913345,0.999999,489.47
202703998,0.913483,0.999999,489.71
204094175,0.913483,0.999999,489.71
205493656,0.913483,0.999999,489.71
206884336,0.913644,0.999999,489.99
208293615,0.913644,0.999999,489.99
209680316,0.913644,0.999999,489.99
211059652,0.913644,0.999999,489.99
212469852,0.913644,0.999999,489.99
213872846,0.913857,0.999999,490.36
215253786,0.914132,0.999999,490.83
216676421,0.914132,0.999999,490.83
218122819,0.914578,0.999999,491.59
219538659,0.914578,0.999999,491.59
220974891,0.914607,0.999999,491.64
222384626,0.914607,0.999999,491.64
223869178,0.914607,0.999999,491.64
225319347,0.91489,0.999999,492.13
226755006,0.91489,0.999999,492.13
228183751,0.914999,0.999999,492.32
229607049,0.915332,0.999999,492.9
231009339,0.915446,0.999999,493.1
232429490,0.915452,0.999999,493.11
233805055,0.915636,0.999999,493.43
235196677,0.916055,0.999999,494.15
236584746,0.916055,0.999999,494.15
237981561,0.916055,0.999999,494.15
239372608,0.916256,0.999999,494.49
240777328,0.916267,0.999999,494.51
242217950,0.916708,0.999999,495.27
243605108,0.916708,0.999999,495.27
244983789,0.916708,0.999999,495.27
246367270,0.916789,0.999999,495.41
247778581,0.916789,0.999999,495.41
249172409,0.916789,0.999999,495.41
250560991,0.916887,0.999999,495.58
251963829,0.916887,0.999999,495.58
253426228,0.916887,0.999999,495.58
254869441,0.916887,0.999999,495.58
256276593,0.916887,0.999999,495.58
257694644,0.916934,0.999999,495.66
259071963,0.917257,0.999999,496.22
260446731,0.917535,0.999999,496.7
261836990,0.917535,0.999999,496.7
263202490,0.917657,0.999999,496.91
264628238,0.917819,0.999999,497.19
266058317,0.917819,0.999999,497.19
267474411,0.917819,0.999999,497.19
268882751,0.91791,0.999999,497.35
270277785,0.918145,0.999999,497.75
271708680,0.918179,0.999999,497.81
273088672,0.918208,0.999999,497.86
274496494,0.918348,0.999999,498.11
275908859,0.918702,0.999999,498.72
277333456,0.918818,0.999999,498.92
278774869,0.918818,0.999999,498.92
280206008,0.918818,0.999999,498.92
281616890,0.918818,0.999999,498.92
