time,best,sol,weight
224863,0.43001,0.86,0
1285564,0.799886,0.9092,437.12
2624465,0.814632,0.9158,451.61
4009316,0.837001,0.9176,478.79
5433866,0.849337,0.916,495.42
6854827,0.858419,0.9126,509.07
8422448,0.867973,0.9146,519.9
9828579,0.875501,0.9128,530.57
11235462,0.879803,0.9172,533.23
12776026,0.883104,0.9166,537.79
14209160,0.886412,0.9244,537.04
15622468,0.890427,0.9236,542.63
17037432,0.894087,0.9234,547.39
18461230,0.89603,0.9246,549.09
19888661,0.898086,0.925,551.44
21303271,0.900233,0.924,554.79
22728751,0.901099,0.923,556.52
24174777,0.901915,0.924,556.92
25625196,0.90281,0.9244,557.8
27054676,0.904058,0.9244,559.38
28442794,0.90498,0.9234,561.18
29819072,0.905428,0.9236,561.62
31296672,0.906788,0.9252,562.33
32742845,0.908142,0.9256,563.79
34179445,0.908763,0.927,563.69
35602507,0.909536,0.9282,563.91
37032987,0.910574,0.928,565.35
38463001,0.911521,0.9286,566.17
39877038,0.911998,0.9272,567.66
41305748,0.912804,0.9272,568.68
42710878,0.913323,0.9268,569.59
44105097,0.914142,0.927,570.5
45502248,0.914998,0.9262,572.09
46922911,0.915471,0.9274,571.93
48338337,0.915611,0.9276,571.98
49735147,0.916221,0.9286,572.12
51142817,0.916282,0.9288,572.07
52557282,0.917019,0.9292,572.75
53975717,0.917283,0.9278,573.97
55356671,0.917612,0.928,574.26
56791253,0.918167,0.9278,575.09
58210840,0.918599,0.9274,575.89
59609550,0.919236,0.9282,576.19
60995252,0.919497,0.9282,576.52
62407422,0.920129,0.9282,577.32
63818313,0.920432,0.928,577.83
65232468,0.920532,0.9282,577.83
66642262,0.920766,0.929,577.62
68023031,0.920842,0.9286,577.97
69458479,0.921024,0.9286,578.2
70875685,0.921555,0.9296,578.24
72276214,0.922156,0.9302,578.62
73678546,0.922672,0.9294,579.78
75152785,0.922914,0.9302,579.58
76576113,0.923241,0.9294,580.5
78012180,0.923388,0.9296,580.56
79422940,0.923567,0.9292,581.04
80835802,0.924159,0.9304,581.03
82263694,0.924841,0.9302,582.02
83695463,0.925223,0.93,582.63
85098553,0.925381,0.9294,583.21
86492699,0.925679,0.9296,583.46
87879471,0.925897,0.9304,583.23
89275751,0.925918,0.9306,583.13
90664897,0.926079,0.931,583.08
92062042,0.926263,0.9302,583.82
93497701,0.926545,0.9304,584.05
94894492,0.926755,0.9306,584.19
96296059,0.926911,0.9302,584.64
97725577,0.926942,0.9296,585.06
99122678,0.927079,0.9294,585.36
100559983,0.927332,0.9294,585.68
101942794,0.927812,0.9284,586.92
103340491,0.927812,0.9284,586.92
104740103,0.927812,0.9284,586.92
106148001,0.927812,0.9278,587.3
107541156,0.92806,0.927,588.12
108985564,0.928676,0.927,588.9
110381396,0.929189,0.9282,588.79
111772557,0.929349,0.928,589.12
113187515,0.929384,0.9278,589.29
114625283,0.929602,0.928,589.44
116056106,0.929742,0.9282,589.49
117496409,0.92981,0.9284,589.45
118934046,0.929852,0.9288,589.25
120352749,0.929963,0.9288,589.39
121801710,0.930139,0.9292,589.36
123206123,0.930139,0.9292,589.36
124751980,0.930239,0.9288,589.74
126366624,0.930239,0.9288,589.74
127913638,0.930294,0.9294,589.43
129426758,0.930297,0.9292,589.56
130883153,0.930297,0.9292,589.56
132412911,0.930663,0.9302,589.39
133857182,0.930663,0.9302,589.39
135515006,0.930663,0.9302,589.39
136998465,0.930789,0.9296,589.93
138426642,0.931253,0.9298,590.39
140033440,0.931253,0.9298,590.39
141411823,0.931653,0.9312,590.01
142793461,0.931653,0.9312,590.01
144179495,0.931829,0.931,590.36
145564322,0.931855,0.9308,590.52
146981790,0.932363,0.9318,590.53
148367704,0.932379,0.9318,590.55
149887073,0.932424,0.932,590.48
151387734,0.932555,0.9322,590.52
152927702,0.9326,0.9324,590.45
154429287,0.932624,0.9324,590.48
155857495,0.932774,0.9318,591.05
157273277,0.932774,0.9318,591.05
158890833,0.933195,0.9316,591.71
160289509,0.933243,0.9316,591.77
161881354,0.933377,0.9316,591.94
163382754,0.933448,0.9316,592.03
164976813,0.934091,0.932,592.59
166366719,0.934091,0.932,592.59
167889918,0.934296,0.932,592.85
169561032,0.934322,0.9324,592.63
170977428,0.934441,0.933,592.4
172349055,0.934565,0.9326,592.81
173767248,0.93458,0.9332,592.45
175161791,0.934848,0.9338,592.41
176565171,0.935038,0.9344,592.27
177981347,0.935064,0.9348,592.05
179385712,0.935304,0.9346,592.48
180810947,0.935304,0.9346,592.48
182280252,0.935344,0.934,592.91
183699572,0.935344,0.934,592.91
185110810,0.935462,0.934,593.06
186490148,0.935462,0.934,593.06
187879492,0.935512,0.9338,593.25
189295405,0.935512,0.9338,593.25
190815389,0.935554,0.9342,593.05
192293525,0.935746,0.9346,593.04
193713937,0.935746,0.9346,593.04
195106869,0.935783,0.9342,593.34
196588623,0.935975,0.9346,593.33
198031284,0.936059,0.9342,593.69
199539852,0.936059,0.9342,593.69
200946977,0.936112,0.9344,593.63
