time,best,sol,weight
31127,0.504675,0.86,0
151730,0.753443,0.952,378.8
287906,0.766969,0.958,392.1
419663,0.781862,0.954,432.9
554218,0.792816,0.96,431.8
689220,0.80263,0.962,446.6
831369,0.824829,0.978,435
967276,0.826932,0.976,444.3
1106611,0.830094,0.978,445.5
1253220,0.830403,0.982,436
1391534,0.831927,0.982,439
1536115,0.838466,0.984,424.3
1673984,0.840289,0.984,435.3
1805644,0.842565,0.988,422
1944351,0.842565,0.988,422
2085976,0.843979,0.988,424.8
2226456,0.843979,0.988,424.8
2375601,0.843979,0.988,424.8
2519027,0.852804,0.99,428.8
2656111,0.852804,0.99,428.8
2802475,0.858128,0.992,433.6
2945658,0.858128,0.992,433.6
3091509,0.858681,0.988,444.8
3233328,0.858868,0.986,457.6
3376580,0.858868,0.986,457.6
3521671,0.86073,0.988,456.1
3661151,0.86073,0.988,456.1
3818914,0.86073,0.988,456.1
3959603,0.862307,0.992,441.4
4104506,0.865471,0.992,447.1
4241452,0.868587,0.992,452.7
4385715,0.868587,0.992,452.7
4527987,0.868587,0.992,452.7
4670834,0.875839,0.994,453.1
4802165,0.875839,0.994,453.1
4940462,0.875839,0.994,453.1
5079629,0.875839,0.994,453.1
5222610,0.876727,0.994,454.8
5366910,0.876727,0.994,454.8
5511105,0.876727,0.994,454.8
5649210,0.87742,0.996,443.6
5786298,0.879006,0.996,446.4
5924772,0.880615,1,431.7
6067520,0.882188,1,434.5
6199051,0.882188,1,434.5
6337984,0.882188,1,434.5
6482897,0.88458,0.998,451.5
6625666,0.88458,0.998,451.5
6758673,0.885758,0.998,453.6
6905215,0.887822,0.996,470
7086056,0.888676,0.998,458.9
7222347,0.888676,0.998,458.9
7370514,0.888676,0.998,458.9
7511513,0.888952,0.998,459.4
7653180,0.889344,0.998,460.1
7790422,0.889344,0.998,460.1
7930590,0.889344,0.998,460.1
8066473,0.889344,0.998,460.1
8207915,0.889344,0.998,460.1
8346145,0.889797,0.998,460.9
8489330,0.89176,0.998,464.4
8630914,0.891985,0.998,464.8
8773014,0.893066,0.998,466.7
8911894,0.893066,0.998,466.7
9051046,0.898109,1,463
9182618,0.898109,1,463
9329021,0.900555,1,467.3
9471330,0.900555,1,467.3
9605758,0.900555,1,467.3
9747825,0.900555,1,467.3
9892042,0.900555,1,467.3
10026746,0.900555,1,467.3
10168228,0.900555,1,467.3
10302518,0.900555,1,467.3
10438697,0.900555,1,467.3
10576935,0.900555,1,467.3
10716850,0.900555,1,467.3
10858127,0.900555,1,467.3
10999377,0.900555,1,467.3
11138956,0.900555,1,467.3
11278988,0.900555,1,467.3
11444759,0.900555,1,467.3
11579583,0.900555,1,467.3
11722685,0.900555,1,467.3
11862326,0.900555,1,467.3
12007308,0.900555,1,467.3
12146666,0.900785,1,467.7
12286603,0.900785,1,467.7
12424375,0.900785,1,467.7
12568182,0.900785,1,467.7
12711331,0.901874,1,469.6
12849730,0.901874,1,469.6
12987497,0.901874,1,469.6
13134263,0.901874,1,469.6
13269462,0.901874,1,469.6
13409206,0.901874,1,469.6
13550937,0.901874,1,469.6
13688811,0.901874,1,469.6
13824758,0.901874,1,469.6
13968464,0.901874,1,469.6
14106146,0.901874,1,469.6
14248730,0.901874,1,469.6
14393949,0.902502,1,470.7
14532431,0.902502,1,470.7
14665625,0.902502,1,470.7
14808548,0.902502,1,470.7
14947213,0.902502,1,470.7
15090984,0.902502,1,470.7
15232199,0.902502,1,470.7
15373149,0.902502,1,470.7
15521866,0.902502,1,470.7
15657934,0.902502,1,470.7
15820230,0.902502,1,470.7
15965470,0.902502,1,470.7
16106748,0.903653,1,472.7
16249330,0.903653,1,472.7
16392457,0.903653,1,472.7
16528624,0.903653,1,472.7
16666056,0.903709,1,472.8
16805717,0.903709,1,472.8
16951801,0.903709,1,472.8
17097202,0.903709,1,472.8
17235037,0.903709,1,472.8
17378895,0.904226,1,473.7
17516535,0.904864,1,474.8
17655267,0.904864,1,474.8
17797202,0.904864,1,474.8
17944192,0.904864,1,474.8
18082298,0.904864,1,474.8
18223514,0.904864,1,474.8
18366596,0.904864,1,474.8
18511444,0.904864,1,474.8
18655771,0.904864,1,474.8
18799389,0.904864,1,474.8
18939518,0.904864,1,474.8
19088557,0.904864,1,474.8
19218161,0.904864,1,474.8
19358968,0.904864,1,474.8
19501120,0.904864,1,474.8
19639726,0.904864,1,474.8
19781236,0.904864,1,474.8
19920323,0.904864,1,474.8
20059034,0.904864,1,474.8
20192267,0.904864,1,474.8
20328573,0.904864,1,474.8
20465765,0.904864,1,474.8
20601107,0.904864,1,474.8
20743839,0.904864,1,474.8
20877673,0.904864,1,474.8
21019404,0.904864,1,474.8
21160171,0.904864,1,474.8
21302229,0.905561,1,476
21445661,0.905561,1,476
21584045,0.905561,1,476
21730818,0.908341,1,480.8
21867370,0.908341,1,480.8
22010855,0.908341,1,480.8
22149925,0.908341,1,480.8
22284343,0.908341,1,480.8
22429667,0.908341,1,480.8
22569774,0.908341,1,480.8
22710487,0.908341,1,480.8
22850277,0.908341,1,480.8
22993767,0.908341,1,480.8
23140087,0.908341,1,480.8
23280310,0.908341,1,480.8
23446699,0.909425,1,482.7
23583572,0.909425,1,482.7
23722990,0.909425,1,482.7
23873455,0.909425,1,482.7
24016790,0.910305,1,484.2
24155805,0.910305,1,484.2
24296937,0.910305,1,484.2
24433482,0.910305,1,484.2
24580783,0.910305,1,484.2
24721844,0.910305,1,484.2
24862274,0.910305,1,484.2
25002202,0.910305,1,484.2
25147735,0.910305,1,484.2
25292725,0.910305,1,484.2
25428603,0.910305,1,484.2
25567735,0.910305,1,484.2
25713187,0.910305,1,484.2
25851998,0.910305,1,484.2
25991999,0.910305,1,484.2
26130096,0.910305,1,484.2
26268802,0.910305,1,484.2
26403968,0.910305,1,484.2
26544745,0.910305,1,484.2
26714689,0.910305,1,484.2
26857536,0.910305,1,484.2
27006325,0.910305,1,484.2
27149861,0.910305,1,484.2
27287787,0.910305,1,484.2
27430715,0.910417,1,484.4
27579281,0.910417,1,484.4
27722770,0.910417,1,484.4
27860745,0.910417,1,484.4
28001231,0.910417,1,484.4
28141575,0.910417,1,484.4
