time,best,sol,weight
20026,0.504675,0.86,0
112522,0.748302,0.948,378.2
207845,0.762621,0.952,398.3
311437,0.783,0.96,419.4
410758,0.788706,0.968,410.9
507385,0.797371,0.97,416.3
611658,0.821018,0.968,467.2
713791,0.823949,0.97,468.1
819281,0.838912,0.978,469
922050,0.848992,0.982,470.4
1025701,0.851898,0.984,463.6
1131856,0.862094,0.986,469.7
1238393,0.864624,0.986,474.7
1338698,0.864624,0.986,474.7
1435311,0.866679,0.99,460.7
1537330,0.870935,0.992,456.2
1637341,0.871922,0.996,440.6
1737425,0.871922,0.996,440.6
1870293,0.875323,0.998,434.5
1968356,0.875323,0.998,434.5
2070080,0.875323,0.998,434.5
2171211,0.875323,0.998,434.5
2274873,0.875323,0.998,434.5
2375090,0.878162,0.998,439.6
2477721,0.880314,0.998,443.6
2577469,0.880314,0.998,443.6
2680975,0.884153,1,438.2
2780265,0.884153,1,438.2
2876827,0.884153,1,438.2
2982222,0.885939,1,441.3
3084862,0.885939,1,441.3
3185555,0.885939,1,441.3
3288792,0.885939,1,441.3
3391659,0.885939,1,441.3
3494923,0.885939,1,441.3
3595525,0.885939,1,441.3
3691658,0.885939,1,441.3
3786753,0.885939,1,441.3
3883380,0.885939,1,441.3
3983733,0.885939,1,441.3
4082992,0.885939,1,441.3
4180607,0.885939,1,441.3
4279703,0.885939,1,441.3
4382541,0.885939,1,441.3
4481564,0.885939,1,441.3
4585106,0.885939,1,441.3
4680713,0.885939,1,441.3
4781406,0.885939,1,441.3
4886930,0.885939,1,441.3
4992816,0.885939,1,441.3
5103206,0.885939,1,441.3
5208383,0.885939,1,441.3
5309523,0.885939,1,441.3
5411620,0.885939,1,441.3
5509603,0.887145,1,443.5
5611008,0.887145,1,443.5
5714548,0.887145,1,443.5
5814403,0.887145,1,443.5
5914893,0.887145,1,443.5
6011037,0.889264,1,447.3
6107558,0.889264,1,447.3
6245994,0.889264,1,447.3
6350567,0.889264,1,447.3
6458503,0.892004,1,452.2
6561837,0.892004,1,452.2
6663050,0.892974,1,453.9
6762700,0.893483,1,454.8
6862592,0.893483,1,454.8
6963393,0.893483,1,454.8
7060947,0.893483,1,454.8
7157100,0.893483,1,454.8
7252573,0.893483,1,454.8
7352406,0.894847,1,457.2
7458169,0.894847,1,457.2
7558626,0.894847,1,457.2
7658612,0.896104,1,459.4
7758340,0.896104,1,459.4
7858263,0.896104,1,459.4
7960774,0.896104,1,459.4
8059726,0.896104,1,459.4
8160608,0.896104,1,459.4
8261610,0.896104,1,459.4
8363592,0.896104,1,459.4
8461530,0.896104,1,459.4
8564666,0.896104,1,459.4
8668546,0.896104,1,459.4
8766275,0.896291,0.998,472.4
8869881,0.896291,0.998,472.4
8965736,0.896291,0.998,472.4
