time,best,sol,weight
66121,0.48722,0.84,0
303514,0.735245,0.919,382
565556,0.742726,0.922,389.9
837214,0.755752,0.924,410.1
1153720,0.768451,0.935,408.9
1467431,0.772082,0.932,422.6
1766038,0.778796,0.932,435.1
2067872,0.783552,0.935,437.1
2366879,0.792156,0.941,439.1
2656472,0.794778,0.939,448.5
2947353,0.799836,0.944,446.2
3233756,0.800657,0.942,452.3
3524421,0.800657,0.942,452.3
3822949,0.800785,0.946,443.4
4108469,0.802294,0.948,441.6
4402244,0.807773,0.945,458.2
4680331,0.807773,0.945,458.2
4957021,0.807773,0.945,458.2
5244645,0.807773,0.945,458.2
5533291,0.807773,0.945,458.2
5814335,0.807773,0.945,458.2
6095929,0.807964,0.942,465.4
6374779,0.813919,0.947,464.7
6658785,0.813957,0.949,460.2
6946241,0.814442,0.946,467.9
7228437,0.814442,0.946,467.9
7531970,0.814442,0.946,467.9
7827881,0.814442,0.946,467.9
8111890,0.814442,0.946,467.9
8392361,0.815877,0.948,465.9
8677834,0.815877,0.948,465.9
8969182,0.817669,0.949,466.8
9249883,0.817669,0.949,466.8
9536973,0.817669,0.949,466.8
9827537,0.817669,0.949,466.8
10125445,0.819217,0.952,462.7
10410014,0.819379,0.953,460.7
10686308,0.820226,0.951,466.8
10984792,0.820226,0.951,466.8
11273363,0.820226,0.951,466.8
11548783,0.820226,0.951,466.8
11835528,0.820226,0.951,466.8
12127448,0.820226,0.951,466.8
12409761,0.820226,0.951,466.8
12690817,0.820226,0.951,466.8
12981194,0.820226,0.951,466.8
13256341,0.820991,0.953,463.6
13542137,0.820991,0.953,463.6
13817072,0.820991,0.953,463.6
14096981,0.820991,0.953,463.6
14380942,0.820991,0.953,463.6
14657953,0.82178,0.953,465
14947821,0.82178,0.953,465
15227344,0.82178,0.953,465
15502814,0.82178,0.953,465
15788215,0.822525,0.946,482.3
16076574,0.822767,0.944,487.3
16358494,0.822767,0.944,487.3
16649966,0.822767,0.944,487.3
16931720,0.822767,0.944,487.3
17209576,0.822767,0.944,487.3
17503273,0.822767,0.944,487.3
17787675,0.822767,0.944,487.3
18070282,0.822767,0.944,487.3
18354603,0.822767,0.944,487.3
18644650,0.827719,0.945,493.7
18922961,0.828314,0.942,501.6
19201611,0.828314,0.942,501.6
19493492,0.829327,0.949,487.4
19784399,0.829327,0.949,487.4
20077652,0.829327,0.949,487.4
20357837,0.829327,0.949,487.4
20644222,0.829327,0.949,487.4
20923893,0.829327,0.949,487.4
21207449,0.829327,0.949,487.4
21489571,0.829327,0.949,487.4
21783301,0.829327,0.949,487.4
22066628,0.829327,0.949,487.4
22347386,0.829327,0.949,487.4
22618769,0.829327,0.949,487.4
22908251,0.829327,0.949,487.4
23189807,0.829327,0.949,487.4
23466427,0.829327,0.949,487.4
23750522,0.829327,0.949,487.4
24042525,0.829327,0.949,487.4
24315173,0.829327,0.949,487.4
24603337,0.829327,0.949,487.4
24892114,0.830773,0.954,478.5
25170925,0.830773,0.954,478.5
25453537,0.831386,0.955,477.3
25734781,0.831386,0.955,477.3
26018787,0.831386,0.955,477.3
26297001,0.831386,0.955,477.3
26577382,0.831386,0.955,477.3
