time,best,sol,weight
30929,0.504675,0.86,0
160641,0.743136,0.944,377
298372,0.753375,0.958,363.6
433241,0.783286,0.958,417.5
572170,0.793252,0.962,428
717958,0.814047,0.974,431.7
862357,0.822164,0.976,442.7
1003362,0.825573,0.974,454.1
1152074,0.830597,0.976,451.1
1311593,0.840264,0.984,435.1
1463178,0.844413,0.98,460.4
1606732,0.845089,0.98,461.7
1750858,0.845764,0.978,468.1
1900966,0.854816,0.984,462.4
2042581,0.855157,0.986,458
2189666,0.866303,0.99,453.4
2337852,0.868836,0.99,457.9
2485854,0.868836,0.99,457.9
2629340,0.870118,0.992,447.8
2772275,0.870118,0.992,447.8
2919508,0.873686,0.994,441.5
3060717,0.874778,0.994,443.5
3201701,0.874778,0.994,443.5
3342724,0.874778,0.994,443.5
3489037,0.879042,0.994,451.1
3628088,0.879042,0.994,451.1
3770408,0.879042,0.994,451.1
3912649,0.879042,0.994,451.1
4051429,0.880493,0.994,453.8
4192509,0.880493,0.994,453.8
4352635,0.880493,0.994,453.8
4495556,0.880493,0.994,453.8
4642314,0.881427,0.994,455.5
4779817,0.881427,0.994,455.5
4922221,0.881427,0.994,455.5
5060360,0.882643,0.994,457.7
5202468,0.882643,0.994,457.7
5340794,0.882643,0.994,457.7
5486004,0.884202,0.994,460.5
5628034,0.884202,0.994,460.5
5769547,0.884202,0.994,460.5
5914517,0.884202,0.994,460.5
6053854,0.884202,0.994,460.5
6195720,0.885331,0.996,457.6
6329215,0.885331,0.996,457.6
6469703,0.885331,0.996,457.6
6612676,0.885331,0.996,457.6
6755488,0.886503,1,442.2
6897552,0.886503,1,442.2
7041874,0.889812,1,448.2
7184371,0.889812,1,448.2
7324514,0.889812,1,448.2
7467187,0.889812,1,448.2
7638166,0.889812,1,448.2
7781878,0.889812,1,448.2
7921796,0.889812,1,448.2
8060407,0.889812,1,448.2
8203596,0.889812,1,448.2
8342654,0.889812,1,448.2
8483908,0.889812,1,448.2
8621996,0.889812,1,448.2
8766409,0.889812,1,448.2
8912900,0.889812,1,448.2
9056517,0.889812,1,448.2
9200351,0.889812,1,448.2
9343751,0.889812,1,448.2
9486052,0.893203,1,454.2
9627486,0.893203,1,454.2
9766618,0.893203,1,454.2
9903505,0.893203,1,454.2
10039757,0.893717,1,455.1
10179375,0.893717,1,455.1
10322851,0.893717,1,455.1
10467501,0.896708,1,460.5
10614385,0.896708,1,460.5
10757509,0.896708,1,460.5
10905737,0.896708,1,460.5
11045597,0.896708,1,460.5
11185221,0.896708,1,460.5
11334634,0.896708,1,460.5
11477041,0.898618,1,463.8
11615374,0.898618,1,463.8
11756393,0.90032,1,466.8
11896254,0.90032,1,466.8
12042617,0.90032,1,466.8
12188323,0.90032,1,466.8
12325841,0.90032,1,466.8
12463352,0.90032,1,466.8
12602165,0.90032,1,466.8
12739096,0.90032,1,466.8
12888059,0.90032,1,466.8
13031722,0.90032,1,466.8
13176530,0.902578,1,470.7
13317926,0.902578,1,470.7
13462648,0.902912,1,471.3
13603592,0.902912,1,471.3
13746004,0.902912,1,471.3
13888837,0.902912,1,471.3
14025097,0.902912,1,471.3
14192504,0.902912,1,471.3
14335264,0.903829,1,472.9
14476946,0.903829,1,472.9
14619257,0.903829,1,472.9
14765279,0.903829,1,472.9
14905697,0.903829,1,472.9
15044964,0.903829,1,472.9
15183716,0.903829,1,472.9
15331076,0.903829,1,472.9
15471224,0.903829,1,472.9
15611449,0.903829,1,472.9
15751850,0.903829,1,472.9
15894233,0.903829,1,472.9
16039809,0.903829,1,472.9
16180923,0.903829,1,472.9
16317624,0.903829,1,472.9
16461127,0.903829,1,472.9
16599884,0.903829,1,472.9
16740168,0.904848,1,474.7
16880827,0.904848,1,474.7
17024965,0.905251,1,475.4
17167159,0.905251,1,475.4
17304084,0.905251,1,475.4
17461024,0.905251,1,475.4
17601603,0.905251,1,475.4
17747354,0.905251,1,475.4
17891842,0.905251,1,475.4
18038434,0.906051,1,476.8
18179000,0.906051,1,476.8
18318709,0.906051,1,476.8
18463556,0.906051,1,476.8
18606619,0.906051,1,476.8
18748917,0.906051,1,476.8
18887910,0.906051,1,476.8
19032828,0.906051,1,476.8
19180236,0.906051,1,476.8
19324556,0.906051,1,476.8
19465355,0.906051,1,476.8
19605280,0.906051,1,476.8
19744766,0.906051,1,476.8
19880875,0.906051,1,476.8
20020297,0.906511,1,477.6
20155658,0.906511,1,477.6
20293038,0.910636,1,484.8
20429087,0.910636,1,484.8
20575314,0.910636,1,484.8
20746566,0.910636,1,484.8
20889208,0.910636,1,484.8
21035147,0.910636,1,484.8
21174377,0.910636,1,484.8
21307677,0.910636,1,484.8
21444090,0.910636,1,484.8
21584456,0.910636,1,484.8
21726334,0.910636,1,484.8
21874112,0.910636,1,484.8
22016080,0.910636,1,484.8
22154466,0.910636,1,484.8
22294007,0.910865,1,485.2
22441045,0.910865,1,485.2
22582887,0.910865,1,485.2
22720090,0.910865,1,485.2
22862811,0.910865,1,485.2
23000265,0.910865,1,485.2
23141092,0.910865,1,485.2
23282974,0.910865,1,485.2
23424242,0.912102,1,487.4
23568809,0.912102,1,487.4
23708871,0.912102,1,487.4
23844704,0.912102,1,487.4
24032894,0.912102,1,487.4
24170046,0.912102,1,487.4
24311144,0.912328,1,487.8
24454428,0.912328,1,487.8
24595679,0.912328,1,487.8
24739438,0.913584,1,490
24883203,0.913584,1,490
25024756,0.913584,1,490
25166810,0.913584,1,490
25310047,0.913584,1,490
25455345,0.913584,1,490
25598155,0.913584,1,490
25743264,0.913584,1,490
25883181,0.913584,1,490
26023762,0.913584,1,490
26164293,0.913584,1,490
26313622,0.913584,1,490
26454174,0.913584,1,490
26594632,0.913584,1,490
26735071,0.913584,1,490
26877010,0.915975,1,494.1
27020276,0.915975,1,494.1
27160333,0.915975,1,494.1
27305034,0.915975,1,494.1
27440666,0.915975,1,494.1
27582074,0.915975,1,494.1
27726381,0.915975,1,494.1
27867541,0.915975,1,494.1
28006513,0.915975,1,494.1
28146132,0.915975,1,494.1
28290751,0.915975,1,494.1
28432442,0.915975,1,494.1
