time,best,sol,weight
51954,0.504674,0.86,0
71592,0.733961,0.94,368
94590,0.801376,1,284
127531,0.801376,1,284
149109,0.801376,1,284
170003,0.801376,1,284
192320,0.863419,1,401
212345,0.863419,1,401
230989,0.863419,1,401
246787,0.863419,1,401
263219,0.863419,1,401
281674,0.863419,1,401
299208,0.918773,1,499
316924,0.918773,1,499
335472,0.918773,1,499
351193,0.918773,1,499
367216,0.918773,1,499
384008,0.918773,1,499
398875,0.918773,1,499
416773,0.918773,1,499
432333,0.918773,1,499
449055,0.918773,1,499
467455,0.918773,1,499
486591,0.918773,1,499
503992,0.918773,1,499
521701,0.918773,1,499
539676,0.918773,1,499
555050,0.918773,1,499
570799,0.918773,1,499
586511,0.918773,1,499
602632,0.918773,1,499
621299,0.918773,1,499
638943,0.918773,1,499
655920,0.918773,1,499
671176,0.918773,1,499
687098,0.918773,1,499
703657,0.918773,1,499
720146,0.918773,1,499
739996,0.918773,1,499
755149,0.918773,1,499
771705,0.918773,1,499
791629,0.918773,1,499
808659,0.918773,1,499
823083,0.918773,1,499
840298,0.918773,1,499
856128,0.918773,1,499
871435,0.918773,1,499
887261,0.918773,1,499
902833,0.918773,1,499
919345,0.918773,1,499
936307,0.918773,1,499
953950,0.918773,1,499
971025,0.918773,1,499
987433,0.918773,1,499
1003245,0.918773,1,499
1019217,0.918773,1,499
1036794,0.918773,1,499
1053621,0.918773,1,499
1069605,0.918773,1,499
1087421,0.918773,1,499
1139033,0.918773,1,499
1155970,0.918773,1,499
1174122,0.918773,1,499
1192823,0.918773,1,499
1211641,0.918773,1,499
1229817,0.918773,1,499
1248796,0.918773,1,499
1265325,0.918773,1,499
1282897,0.918773,1,499
1298806,0.918773,1,499
1314179,0.918773,1,499
1334721,0.918773,1,499
1352852,0.918773,1,499
1369581,0.918773,1,499
1384735,0.918773,1,499
1402160,0.918773,1,499
1419072,0.918773,1,499
1435128,0.918773,1,499
1452995,0.918773,1,499
1469063,0.918773,1,499
1486969,0.918773,1,499
1503706,0.918773,1,499
1518571,0.918773,1,499
1534516,0.918773,1,499
1551824,0.918773,1,499
1568265,0.918773,1,499
1586059,0.918773,1,499
1601510,0.918773,1,499
1617486,0.918773,1,499
1633302,0.918773,1,499
1650156,0.918773,1,499
1665820,0.918773,1,499
1682368,0.918773,1,499
1697753,0.918773,1,499
1713706,0.918773,1,499
1728985,0.918773,1,499
1748570,0.918773,1,499
1764827,0.918773,1,499
1782685,0.918773,1,499
1800727,0.918773,1,499
1817674,0.918773,1,499
1834271,0.918773,1,499
1851630,0.918773,1,499
1868020,0.918773,1,499
1884005,0.918773,1,499
1899983,0.918773,1,499
1917963,0.918773,1,499
1935025,0.918773,1,499
1951195,0.918773,1,499
1967333,0.918773,1,499
1983242,0.918773,1,499
2001323,0.918773,1,499
2017458,0.918773,1,499
2034422,0.918773,1,499
2051309,0.918773,1,499
2068352,0.918773,1,499
2085137,0.918773,1,499
2101348,0.918773,1,499
2116841,0.918773,1,499
2133126,0.918773,1,499
2149615,0.918773,1,499
2167184,0.918773,1,499
2182873,0.918773,1,499
2246932,0.918773,1,499
2262675,0.918773,1,499
2279685,0.918773,1,499
2299773,0.918773,1,499
2317979,0.918773,1,499
2333863,0.918773,1,499
2350257,0.918773,1,499
2367461,0.918773,1,499
2383145,0.918773,1,499
2399193,0.918773,1,499
2415052,0.918773,1,499
2432398,0.918773,1,499
2449408,0.918773,1,499
2463867,0.918773,1,499
2480989,0.918773,1,499
2498414,0.918773,1,499
2517420,0.918773,1,499
2533890,0.918773,1,499
2550015,0.918773,1,499
2567338,0.918773,1,499
2582267,0.918773,1,499
2598261,0.918773,1,499
2614731,0.918773,1,499
2632245,0.918773,1,499
2648572,0.918773,1,499
2666963,0.918773,1,499
2683461,0.918773,1,499
2697972,0.918773,1,499
2713555,0.918773,1,499
2730155,0.918773,1,499
2746475,0.918773,1,499
2763725,0.918773,1,499
2780369,0.918773,1,499
2796143,0.918773,1,499
2810684,0.918773,1,499
2827467,0.918773,1,499
2843912,0.918773,1,499
2862558,0.918773,1,499
2876823,0.918773,1,499
2892560,0.918773,1,499
2909266,0.918773,1,499
2924925,0.918773,1,499
2942987,0.918773,1,499
2959478,0.918773,1,499
2978268,0.918773,1,499
2993024,0.918773,1,499
3009944,0.918773,1,499
3026819,0.918773,1,499
3044054,0.918773,1,499
3059772,0.918773,1,499
3075680,0.918773,1,499
3092140,0.918773,1,499
3109923,0.918773,1,499
3125900,0.918773,1,499
3142450,0.918773,1,499
3159145,0.918773,1,499
3174714,0.918773,1,499
3189979,0.918773,1,499
3204900,0.918773,1,499
3221366,0.918773,1,499
3237097,0.918773,1,499
3251699,0.918773,1,499
3267365,0.918773,1,499
3282553,0.918773,1,499
3336462,0.918773,1,499
3352554,0.918773,1,499
3367523,0.918773,1,499
3383666,0.918773,1,499
3400821,0.918773,1,499
3418268,0.918773,1,499
3434171,0.918773,1,499
3449087,0.918773,1,499
3465229,0.918773,1,499
3484909,0.918773,1,499
3503051,0.918773,1,499
3520107,0.918773,1,499
3536386,0.918773,1,499
