time,best,sol,weight
9064,0.504674,0.86,0
33769,0.742468,0.98,285
68434,0.752515,0.96,357
116918,0.815051,0.98,434
151557,0.815051,0.98,434
180368,0.815051,0.98,434
241098,0.821529,0.94,548
273753,0.821529,0.94,548
308187,0.918192,1,498
340585,0.918192,1,498
369809,0.918192,1,498
400061,0.918192,1,498
431606,0.918192,1,498
462803,0.918192,1,498
493636,0.918192,1,498
523195,0.918192,1,498
552853,0.918192,1,498
581772,0.918192,1,498
615536,0.918192,1,498
645181,0.918192,1,498
676895,0.918192,1,498
709467,0.918192,1,498
742134,0.918192,1,498
772816,0.918192,1,498
803296,0.918192,1,498
832087,0.918192,1,498
861528,0.918192,1,498
891230,0.918192,1,498
921611,0.918192,1,498
953413,0.918192,1,498
987370,0.918192,1,498
1017452,0.918192,1,498
1045034,0.918192,1,498
1078079,0.918192,1,498
1106908,0.918192,1,498
1136275,0.918192,1,498
1168638,0.918192,1,498
1205781,0.918192,1,498
1243252,0.918192,1,498
1313067,0.918192,1,498
1344907,0.918192,1,498
1374554,0.918192,1,498
1404789,0.918192,1,498
1436432,0.918192,1,498
1466431,0.918192,1,498
1499331,0.918192,1,498
1531230,0.918192,1,498
1560193,0.918192,1,498
1591379,0.918192,1,498
1622173,0.918192,1,498
1653177,0.918192,1,498
1680421,0.918192,1,498
1713376,0.918192,1,498
1744869,0.918192,1,498
1774372,0.918192,1,498
1807428,0.918192,1,498
1836336,0.918192,1,498
1865401,0.918192,1,498
1894986,0.918192,1,498
1924199,0.918192,1,498
1954745,0.918192,1,498
1986807,0.918192,1,498
2020825,0.918192,1,498
2056024,0.918192,1,498
2086049,0.918192,1,498
2118044,0.918192,1,498
2150771,0.918192,1,498
2184495,0.918192,1,498
2213434,0.918192,1,498
2246406,0.918192,1,498
2276735,0.918192,1,498
2306207,0.918192,1,498
2336686,0.918192,1,498
2400823,0.918192,1,498
2435292,0.918192,1,498
2465297,0.918192,1,498
2494167,0.918192,1,498
2526631,0.918192,1,498
2560935,0.918192,1,498
2597126,0.918192,1,498
2630095,0.918192,1,498
2659407,0.918192,1,498
2692150,0.918192,1,498
2723097,0.918192,1,498
2757267,0.918192,1,498
2790303,0.918192,1,498
2824002,0.918192,1,498
2854618,0.918192,1,498
2884287,0.918192,1,498
2913440,0.918192,1,498
2947552,0.918192,1,498
2978635,0.918192,1,498
3008972,0.918192,1,498
3036070,0.918192,1,498
3066433,0.918192,1,498
3098701,0.918192,1,498
3127935,0.918192,1,498
3159143,0.918192,1,498
3187416,0.918192,1,498
3219699,0.918192,1,498
3252293,0.918192,1,498
3285332,0.918192,1,498
3315630,0.918192,1,498
3348628,0.918192,1,498
3378134,0.918192,1,498
3410436,0.918192,1,498
3488293,0.918192,1,498
3517628,0.918192,1,498
3549373,0.918192,1,498
3580334,0.918192,1,498
3609338,0.918192,1,498
3643326,0.918192,1,498
3675998,0.918192,1,498
3710508,0.918192,1,498
3748315,0.918192,1,498
3781476,0.918192,1,498
3814007,0.918192,1,498
3844056,0.918192,1,498
3873549,0.918192,1,498
3904535,0.918192,1,498
3933437,0.918192,1,498
3965785,0.918192,1,498
3996434,0.918192,1,498
4026864,0.918192,1,498
4056036,0.918192,1,498
4085537,0.918192,1,498
4117695,0.918192,1,498
4150545,0.918192,1,498
4179916,0.918192,1,498
4210494,0.918192,1,498
4244699,0.918192,1,498
4277072,0.918192,1,498
4308926,0.918192,1,498
4338096,0.918192,1,498
4368705,0.918192,1,498
4403852,0.918192,1,498
4435503,0.918192,1,498
4472174,0.918192,1,498
4500629,0.918192,1,498
4533266,0.918192,1,498
4582714,0.918192,1,498
4617323,0.918192,1,498
4652438,0.918192,1,498
4687942,0.918192,1,498
4719093,0.918192,1,498
4752345,0.918192,1,498
4783416,0.918192,1,498
4818212,0.918192,1,498
4849595,0.918192,1,498
4881399,0.918192,1,498
4914079,0.918192,1,498
4945122,0.918192,1,498
4977041,0.918192,1,498
5006750,0.918192,1,498
5034055,0.918192,1,498
5065550,0.918192,1,498
5094447,0.918192,1,498
5124701,0.918192,1,498
5156597,0.918192,1,498
5187371,0.918192,1,498
5217023,0.918192,1,498
5249238,0.918192,1,498
5279108,0.918192,1,498
5310163,0.918192,1,498
5342399,0.918192,1,498
5373521,0.918192,1,498
5403865,0.918192,1,498
5438430,0.918192,1,498
5467494,0.918192,1,498
5502210,0.918192,1,498
5531990,0.918192,1,498
5563908,0.918192,1,498
5596006,0.918192,1,498
5667253,0.918192,1,498
5698597,0.918192,1,498
5728022,0.918192,1,498
5758543,0.918192,1,498
5788600,0.918192,1,498
5820705,0.918192,1,498
5851218,0.918192,1,498
5882550,0.918192,1,498
5913722,0.918192,1,498
5945808,0.918192,1,498
5975618,0.918192,1,498
6009790,0.918192,1,498
6039362,0.918192,1,498
6073229,0.918192,1,498
6103278,0.918192,1,498
6133343,0.918192,1,498
6163594,0.918192,1,498
6194482,0.918192,1,498
6227414,0.918192,1,498
6258834,0.918192,1,498
6285182,0.918192,1,498
6318339,0.918192,1,498
6350869,0.918192,1,498
6380942,0.918192,1,498
6413005,0.918192,1,498
6443201,0.918192,1,498
6476604,0.918192,1,498
